LAKE_ID_WSA_50K,GAZETTED_NAME,WATERSHED_CODE_WSA_50K,WATERBODY_IDENTIFIER_WSA_50K,MAP_TITLE,DRAFT_DATE,DATUM,NUMBER_OF_MAP_SHEETS,SHEET_NO,MAP_IMAGE_FILENAME_PDF,PDF_FILE_URL
9116,103 MILE LAKE,100-385000-98600-98900-1130-9070-000-000-000-000-000-000,02322SAJR,103 MILE LAKE,1975-06-19,NAD27,1,1 OF 1,00045501.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00045501.pdf
9085,108 MILE LAKE,100-385000-98600-98900-1130-4340-000-000-000-000-000-000,02012SAJR,108 MILE,1971-11-23,NAD27,1,1 OF 1,00009001.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00009001.pdf
8535,130 MILE LAKE,100-385000-98600-00000-0000-0000-000-000-000-000-000-000,01208SAJR,130 - MILE LAKE,1985-11-01,NAD27,1,1 OF 1,00285001.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00285001.pdf
152377,ABAS LAKE,237-447900-00000-00000-0000-0000-000-000-000-000-000-000,01841NATR,ABAS L.,1978-08-16,NAD27,1,1 OF 1,00226701.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00226701.pdf
48262,ABBOTT LAKE,160-274600-96700-28400-0000-0000-000-000-000-000-000-000,02402QUES,ABBOTT L.,1975-09-09,NAD27,1,1 OF 1,00009501.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00009501.pdf
8992,ABEL LAKE,100-385000-98600-98900-1130-0480-000-000-000-000-000-000,02235SAJR,TAD LAKE  ABEL LAKE,1968-10-01,NAD27,1,1 OF 1,00319201.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00319201.pdf
33055,ABERDEEN LAKE,128-835500-54100-49500-6000-0000-000-000-000-000-000-000,00967USHU,ABERDEEN LAKE,1979-11-22,NAD27,1,1 OF 1,00226801.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00226801.pdf 
43811,ABRAMS LAKE,150-226500-00000-00000-0000-0000-000-000-000-000-000-000,02951LCHR,1. RUSHES  2. ABRAMS,1971-11-01,NAD27,1,1 OF 1,00042701.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00042701.pdf
188287,ABRUZZI LAKE,349-248100-88200-43800-3620-0000-000-000-000-000-000-000,00023ELKR,ABRUZZI LAKE,1988-02-19,NAD27,1,1 OF 1,00019001.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00019001.pdf
281829,ABUNTLET LAKE,910-318700-00000-00000-0000-0000-000-000-000-000-000-000,00723UDEN,ABUNTLET LAKE,1979-07-20,NAD27,1,1 OF 1,00097001.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00097001.pdf
153321,ACADEMUS LAKE,237-929900-00000-00000-0000-0000-000-000-000-000-000-000,00305NATR,ACADEMUS L.,1978-04-24,NAD27,1,1 OF 1,00101701.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00101701.pdf
210220,ACORN LAKE,480-378200-34100-00000-0000-0000-000-000-000-000-000-000,02263BABR,ACORN LAKE,1984-09-19,NAD27,1,1 OF 1,00226901.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00226901.pdf
107141,AEROPLANE LAKE,217-268900-51100-00000-0000-0000-000-000-000-000-000-000,00804LKEC,AEROPLANE LAKE,1983-03-01,NAD27,1,1 OF 1,00227001.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00227001.pdf
152771,AHDATAY LAKE,237-569400-00000-00000-0000-0000-000-000-000-000-000-000,00637NATR,AHDATAY L.,1978-04-19,NAD27,1,1 OF 1,00101801.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00101801.pdf
169513,AID LAKE,300-871400-00000-00000-0000-0000-000-000-000-000-000-000,00477CLRH,AID LAKE,1968-10-01,NAD27,1,1 OF 1,00101901.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00101901.pdf
169513,AID LAKE,300-871400-00000-00000-0000-0000-000-000-000-000-000-000,00477CLRH,AID LAKE,1985-03-19,NAD27,1,1 OF 1,00019101.PDF,https://a100.gov.bc.ca/pub/fidq/downloadBathymetricMap.do?filename=00019101.pdf
